,State,Year,Data
733,Massachusetts,1974,56959
734,Maryland,1974,52381
735,Maine,1974,64263
736,Michigan,1974,50587
737,Minnesota,1974,35899
738,Missouri,1974,44031
739,Mississippi,1974,31279
740,Montana,1974,106573
741,North Carolina,1974,139607
742,North Dakota,1974,28922
743,Nebraska,1974,16161
744,New Hampshire,1974,28694
745,New Jersey,1974,33097
746,New Mexico,1974,4919
747,Nevada,1974,17762
748,New York,1974,362988
749,Ohio,1974,48408
750,Oklahoma,1974,48830
751,Oregon,1974,432867
752,Pennsylvania,1974,72077
753,Rhode Island,1974,5023
754,South Carolina,1974,79895
755,South Dakota,1974,60394
756,Tennessee,1974,180418
757,Texas,1974,76691
758,Utah,1974,12440
759,Virginia,1974,66085
760,Vermont,1974,16134
761,Washington,1974,926539
762,Wisconsin,1974,65621
763,West Virginia,1974,23779
764,Wyoming,1974,16196
765,Alaska,1975,8608
766,Alabama,1975,184701
767,Arkansas,1975,71589
768,Arizona,1975,80897
769,California,1975,578578
770,Colorado,1975,24728
771,Connecticut,1975,22237
772,District of Columbia,1975,131
773,Delaware,1975,7901
774,Florida,1975,50007
775,Georgia,1975,123427
776,Hawaii,1975,1498
777,Iowa,1975,17029
778,Idaho,1975,118011
779,Illinois,1975,42898
780,Indiana,1975,31342
781,Kansas,1975,5811
782,Kentucky,1975,66857
783,Louisiana,1975,42358
784,Massachusetts,1975,53325
785,Maryland,1975,55834
786,Maine,1975,60423
787,Michigan,1975,47458
788,Minnesota,1975,36949
789,Missouri,1975,40414
790,Mississippi,1975,31152
791,Montana,1975,112007
792,North Carolina,1975,139828
793,North Dakota,1975,35262
794,Nebraska,1975,15399
795,New Hampshire,1975,25853
796,New Jersey,1975,30950
797,New Mexico,1975,6002
798,Nevada,1975,18827
799,New York,1975,354900
800,Ohio,1975,46299
801,Oklahoma,1975,42644
802,Oregon,1975,417387
803,Pennsylvania,1975,73865
804,Rhode Island,1975,4050
805,South Carolina,1975,87805
806,South Dakota,1975,83960
807,Tennessee,1975,177299
808,Texas,1975,75872
809,Utah,1975,14074
810,Virginia,1975,66861
811,Vermont,1975,16361
812,Washington,1975,935362
813,Wisconsin,1975,66067
814,West Virginia,1975,22798
815,Wyoming,1975,13226
816,Alaska,1976,9201
817,Alabama,1976,160994
818,Arkansas,1976,62300
819,Arizona,1976,84428
820,California,1976,422852
821,Colorado,1976,23636
822,Connecticut,1976,23862
823,District of Columbia,1976,146
824,Delaware,1976,9607
825,Florida,1976,56507
826,Georgia,1976,135157
827,Hawaii,1976,1663
828,Iowa,1976,15187
829,Idaho,1976,121380
830,Illinois,1976,47471
831,Indiana,1976,36021
832,Kansas,1976,6526
833,Kentucky,1976,68110
834,Louisiana,1976,45170
835,Massachusetts,1976,60502
836,Maryland,1976,56373
837,Maine,1976,70099
838,Michigan,1976,52481
839,Minnesota,1976,35632
840,Missouri,1976,39537
841,Mississippi,1976,34819
842,Montana,1976,135822
843,North Carolina,1976,136973
844,North Dakota,1976,34411
845,Nebraska,1976,16378
846,New Hampshire,1976,31050
847,New Jersey,1976,35091
848,New Mexico,1976,6781
849,Nevada,1976,17457
850,New York,1976,368500
851,Ohio,1976,52843
852,Oklahoma,1976,29303
853,Oregon,1976,434370
854,Pennsylvania,1976,81184
855,Rhode Island,1976,4704
856,South Carolina,1976,83353
857,South Dakota,1976,74830
858,Tennessee,1976,160069
859,Texas,1976,75965
860,Utah,1976,14974
861,Virginia,1976,76045
862,Vermont,1976,19325
863,Washington,1976,1051188
864,Wisconsin,1976,69570
865,West Virginia,1976,24758
866,Wyoming,1976,12547
867,Alaska,1977,11449
868,Alabama,1977,174751
869,Arkansas,1977,69746
870,Arizona,1977,75681
871,California,1977,338073
872,Colorado,1977,23658
873,Connecticut,1977,24105
874,District of Columbia,1977,158
875,Delaware,1977,10161
876,Florida,1977,59953
877,Georgia,1977,136122
878,Hawaii,1977,1355
879,Iowa,1977,17088
880,Idaho,1977,85968
